,Huber-Huber-RobustPALMRT-pval,OLS-L2-PALMRT-pval,F-test-pval
276,0.8295,0.8575,0.9077661030375718
277,0.0865,0.689,0.6806078263075921
278,0.191,0.2885,0.2541192496715959
279,0.009,0.019,0.013438532392439037
280,0.161,0.1535,0.15494868270045598
281,0.009,0.081,0.06913941146838021
282,0.3375,0.4275,0.3863842590259442
283,0.8445,0.857,0.9280722810099925
284,0.0545,0.456,0.43390599636456595
285,0.052,0.1895,0.15145286677508402
286,0.251,0.426,0.39897942382663654
287,0.155,0.408,0.39154140628875767
288,0.8485,0.361,0.35691579887673097
289,0.145,0.6405,0.6397083041552977
290,0.218,0.152,0.13866246913917135
291,0.075,0.851,0.8841454570298397
292,0.613,0.6,0.5978704982404516
293,0.687,0.51,0.5025275444452817
294,0.169,0.4935,0.4544521358494197
295,0.016,0.017,0.008987947933481868
296,0.4085,0.8555,0.9525244072727829
297,0.174,0.118,0.10084082681570815
298,0.516,0.598,0.5494465046090182
299,0.067,0.234,0.21321895431113738
300,0.238,0.389,0.33892710098517775
301,0.829,0.719,0.7315505061847516
302,0.046,0.572,0.5584315977574998
303,0.002,0.002,0.0003994240255493465
304,0.06,0.02,0.019005088871025318
305,0.7825,0.8615,0.9715802582672209
306,0.175,0.291,0.2603188005027854
307,0.023,0.025,0.019357296814293563
308,0.6135,0.832,0.9439560161072837
309,0.3595,0.5715,0.544486344754614
310,0.089,0.292,0.2590111077131236
311,0.156,0.709,0.6787925882724792
312,0.4585,0.803,0.8296297324039968
313,0.327,0.82,0.8634622364924908
314,0.158,0.244,0.21355945488714043
315,0.004,0.027,0.028499207429450227
316,0.087,0.054,0.04660666898000932
317,0.1495,0.3865,0.3670073430518196
318,0.119,0.129,0.11207435554041165
319,0.8145,0.8755,0.9861720094503292
320,0.022,0.146,0.12655430324979589
321,0.001,0.001,0.0013077507815715316
322,0.028,0.069,0.05382162668633024
323,0.098,0.4835,0.4645587359115192
324,0.02,0.0975,0.07464292811998996
325,0.002,0.059,0.042592179363100606
326,0.008,0.004,0.00295148217387249
327,0.049,0.095,0.06410609516465476
328,0.046,0.048,0.038692491705467895
329,0.009,0.16,0.13308070131863756
330,0.396,0.7445,0.7428981028658082
331,0.23,0.1485,0.1328549157820263
332,0.065,0.239,0.2064880060208629
333,0.004,0.01,0.005645886791457908
334,0.029,0.8445,0.9631725705544603
335,0.8275,0.8065,0.7948200221279593
336,0.213,0.649,0.6332447774779429
337,0.019,0.036,0.02270943262620997
338,0.021,0.07,0.05881460186523553
339,0.6355,0.7995,0.8601677222896175
340,0.193,0.077,0.060563045564819194
341,0.016,0.237,0.2052795007648748
342,0.035,0.19,0.17418776921567705
343,0.039,0.102,0.08491725843779527
344,0.092,0.0915,0.0897264375552067
345,0.06,0.36,0.33748922113924495
346,0.001,0.8715,0.9820438771919764
347,0.1675,0.2275,0.20125203170910594
348,0.2295,0.533,0.5283891499933435
349,0.6765,0.8235,0.865436394535645
350,0.072,0.103,0.07772202912703685
351,0.077,0.03,0.029126792554751767
352,0.205,0.211,0.18724558929949708
353,0.778,0.7745,0.7675237440542867
354,0.2075,0.147,0.13376265463256162
355,0.008,0.02,0.015309728841583952
356,0.081,0.031,0.01654559920158549
357,0.048,0.2885,0.23836415267367547
358,0.2135,0.52,0.49339947290201913
359,0.0255,0.05,0.034027995682350425
360,0.314,0.502,0.49133938245724296
361,0.128,0.049,0.03202827377750977
362,0.226,0.424,0.401763847307272
363,0.186,0.258,0.23137684412276263
364,0.036,0.017,0.0113456356827068
365,0.465,0.568,0.5511946060952896
366,0.59,0.8665,0.9676936418683139
367,0.8105,0.621,0.6096608548727201
368,0.004,0.033,0.03282341578281978
369,0.002,0.726,0.7531847051835517
370,0.008,0.068,0.05873402248200041
371,0.2745,0.852,0.9628469902438428
372,0.781,0.839,0.9020960436395351
373,0.019,0.172,0.15512881955965382
374,0.036,0.5335,0.49307669151340106
375,0.025,0.017,0.013032565010666082
376,0.317,0.088,0.082739263643038
377,0.603,0.8555,0.9454050387067248
378,0.038,0.155,0.16466753737605275
379,0.67,0.8705,0.9690602217833052
380,0.339,0.859,0.9374975508738297
381,0.003,0.013,0.007299981767147918
382,0.2,0.282,0.2654480175730351
383,0.605,0.7795,0.7986266601193386
384,0.049,0.569,0.5480368809457211
385,0.489,0.3875,0.36244216968139564
386,0.251,0.528,0.4971315981438621
387,0.727,0.8585,0.9709143188177608
388,0.204,0.16,0.13983048837397452
389,0.6675,0.215,0.1940279231904513
390,0.019,0.032,0.021478733167215897
391,0.011,0.013,0.009643222011543193
392,0.029,0.02,0.014718429535773531
393,0.626,0.7595,0.7748215618331702
394,0.005,0.12,0.10225399042435211
395,0.01,0.4385,0.42563060489842497
396,0.002,0.009,0.004418542143570441
397,0.044,0.047,0.031169158500501563
398,0.3175,0.2265,0.22693010677122782
399,0.226,0.3065,0.25224201065295393
400,0.148,0.6185,0.6135749686834152
401,0.056,0.075,0.06703454738886683
402,0.535,0.4235,0.39472287817703267
403,0.3395,0.692,0.6808688634075819
404,0.069,0.106,0.0900073307406924
405,0.449,0.4145,0.38540732007501255
406,0.029,0.064,0.05682997089416316
407,0.16,0.442,0.41821138633002997
408,0.113,0.297,0.2562398856864748
409,0.094,0.132,0.1065138805227709
410,0.2155,0.6015,0.5729500270407702
411,0.043,0.112,0.08904374114469397
412,0.023,0.049,0.03851987502884727
413,0.086,0.2295,0.19578038184355342
414,0.275,0.329,0.3032274959138213
415,0.6925,0.7615,0.7917083699546612
416,0.142,0.39,0.36776856757024634
417,0.002,0.003,0.0006564744032580951
418,0.4145,0.329,0.27687419158592147
419,0.01,0.004,0.0017791100245091195
420,0.006,0.295,0.26372659345984467
421,0.063,0.178,0.14606353852232498
422,0.8405,0.676,0.6753628540479653
423,0.3685,0.6995,0.7190554921511174
424,0.047,0.08,0.0767337469539239
425,0.62,0.31,0.2785192777891518
426,0.001,0.008,0.003429983403332117
427,0.1245,0.265,0.2483052589863087
428,0.3465,0.855,0.9622035228963925
429,0.444,0.128,0.11459765847315849
430,0.2045,0.7425,0.7551020911948234
431,0.001,0.001,7.111139337594195e-06
432,0.004,0.004,0.0021435398026090893
433,0.03,0.026,0.018838874820624785
434,0.702,0.672,0.6323480411841584
435,0.127,0.149,0.1270493019267039
436,0.018,0.045,0.02809334758816176
437,0.138,0.421,0.394358579628205
438,0.011,0.065,0.055294235406124985
439,0.034,0.579,0.5583945596051811
440,0.348,0.7905,0.7828031342787355
441,0.086,0.158,0.12287833673172191
442,0.2495,0.433,0.4392597543444785
443,0.08,0.213,0.1818787327472397
444,0.001,0.001,0.00023675394451491452
445,0.045,0.1,0.07386897879773871
446,0.016,0.079,0.06679923844660265
447,0.3725,0.279,0.26359810293572994
448,0.2725,0.818,0.8363708612782246
449,0.7395,0.2885,0.2474734520083613
450,0.2845,0.4405,0.4062241083695537
451,0.003,0.004,0.002095439973210308
452,0.7855,0.8495,0.9381661199799252
453,0.201,0.102,0.07602990221135576
454,0.313,0.4715,0.4590753278518901
455,0.055,0.066,0.05932628892998033
456,0.3045,0.278,0.275011453318643
457,0.001,0.004,0.002365577867338023
458,0.701,0.852,0.9548957812348564
459,0.8405,0.156,0.12751784521367443
460,0.8275,0.829,0.8883223383439038
461,0.029,0.041,0.029953877262902193
462,0.226,0.2515,0.23723061839066356
463,0.2295,0.277,0.25736330939542335
464,0.628,0.7885,0.8421756025460168
465,0.301,0.226,0.21125840223020062
466,0.819,0.6915,0.7084875998984632
467,0.2175,0.5365,0.49849227404565344
468,0.033,0.033,0.026837046146282212
469,0.6615,0.461,0.43087357472567867
470,0.156,0.189,0.16712548931356586
471,0.052,0.042,0.025592295139346816
472,0.06,0.172,0.1512329586210386
473,0.093,0.243,0.19874629387831733
474,0.5115,0.859,0.9374768503725507
475,0.3175,0.8315,0.885960652485096
476,0.019,0.119,0.10197076051507253
477,0.8455,0.808,0.8331328919435925
478,0.226,0.109,0.09487017917184613
479,0.033,0.166,0.13907715260401915
480,0.134,0.139,0.11991805145088442
481,0.001,0.002,0.0012047802055572866
482,0.7755,0.7145,0.7010098713905715
483,0.009,0.043,0.028144920839096654
484,0.014,0.42,0.3769252053904034
485,0.007,0.0285,0.024150227488835618
486,0.4715,0.6725,0.6537718959294028
487,0.865,0.633,0.6306564460279112
488,0.032,0.098,0.08029640639439858
489,0.024,0.04,0.03088242105898151
490,0.222,0.522,0.505310983713894
491,0.001,0.001,4.038171514529914e-05
492,0.09,0.0795,0.07177435295830355
493,0.212,0.3855,0.3688724078891278
494,0.466,0.4215,0.3965017048049213
495,0.003,0.012,0.008922552657305098
496,0.105,0.485,0.48270103802295217
497,0.006,0.061,0.04733234541707496
498,0.172,0.375,0.36222227168496024
499,0.039,0.0795,0.06703225884897988
500,0.214,0.216,0.20606258959721768
501,0.211,0.6825,0.6840839047936547
502,0.219,0.486,0.45105587380612455
503,0.17,0.519,0.4896956015834455
504,0.101,0.256,0.22002111741046038
505,0.011,0.061,0.06535508343160751
506,0.23,0.326,0.3147152988460354
507,0.192,0.149,0.11619510188809505
508,0.361,0.8685,0.9853687884226516
509,0.127,0.318,0.29759630588486224
510,0.017,0.038,0.033104696417101696
511,0.001,0.001,0.0004939295121351368
512,0.008,0.276,0.26410202687136597
513,0.683,0.5085,0.48920220934104774
514,0.066,0.087,0.07754600666750922
515,0.6575,0.7835,0.8271703534980801
516,0.176,0.6175,0.6087020538668342
517,0.165,0.2365,0.19774531666290474
518,0.009,0.0435,0.026952919081262138
519,0.06,0.4285,0.40049219570958217
520,0.639,0.598,0.582222585520143
521,0.349,0.13,0.1150029909522169
522,0.2665,0.114,0.0988460241186596
523,0.751,0.8655,0.9236696531568898
524,0.016,0.015,0.006917314628376765
525,0.4015,0.1565,0.14208092507763354
526,0.011,0.076,0.05569929195736058
527,0.3105,0.3075,0.27739117289761533
528,0.01,0.018,0.014221522573133695
529,0.857,0.773,0.8066898361850584
530,0.004,0.124,0.10841537666356783
531,0.807,0.3575,0.33685873915165065
532,0.851,0.6685,0.6182141421006677
533,0.3875,0.156,0.13512186368947202
534,0.0205,0.006,0.002748078687638428
535,0.1555,0.1475,0.12948385507502805
536,0.053,0.111,0.09094661181156506
537,0.051,0.1,0.08029286100164917
538,0.042,0.13,0.10390761305603795
539,0.1695,0.3185,0.2685739143839399
540,0.004,0.016,0.009209247213347557
541,0.009,0.142,0.1248220598046013
542,0.852,0.8475,0.9944432457069963
543,0.3125,0.662,0.6488549404812892
544,0.1015,0.217,0.18374599984784454
545,0.536,0.4585,0.41132135140598935
546,0.2855,0.6565,0.6653290174339588
547,0.22,0.359,0.34749216138271
548,0.01,0.012,0.009508634928788286
549,0.3375,0.815,0.8634537533310699
550,0.002,0.003,0.0022810636352057524
551,0.013,0.658,0.6355497211579249
552,0.063,0.3415,0.29711846460574587
553,0.002,0.047,0.040008664688821076
554,0.118,0.137,0.11621313758336049
555,0.184,0.2485,0.22767044778745024
556,0.276,0.4175,0.3830924412647758
557,0.04,0.716,0.711332909011281
558,0.1385,0.285,0.2595475807573702
559,0.05,0.179,0.1485685730362033
560,0.1025,0.192,0.17462923263713295
561,0.366,0.2385,0.22850165774238831
562,0.1,0.7715,0.7574369989655076
563,0.093,0.721,0.7170728412949552
564,0.057,0.1145,0.10353382347791988
565,0.013,0.036,0.02776015572044325
566,0.023,0.096,0.09175561209871055
567,0.2495,0.858,0.8750929266578928
568,0.025,0.0795,0.06549363985375191
569,0.017,0.063,0.05607402237664408
570,0.833,0.7695,0.785209886869068
571,0.048,0.132,0.090826644194598
572,0.22,0.124,0.10050886785102724
573,0.583,0.389,0.3790916889478818
574,0.057,0.113,0.10495217050896148
575,0.778,0.444,0.4067247481934969
576,0.077,0.1825,0.16314403334151584
577,0.084,0.196,0.16853437801121982
578,0.6385,0.6965,0.6759971147583441
579,0.3395,0.4805,0.47986392144931633
580,0.049,0.868,0.9852641705509637
581,0.474,0.8615,0.9510996074780993
582,0.035,0.056,0.030891531785187682
583,0.7385,0.682,0.6704975724241542
584,0.004,0.028,0.017498167076893202
585,0.151,0.2905,0.26935684594768017
586,0.078,0.376,0.3300246834403686
587,0.4445,0.627,0.6107488608008722
588,0.044,0.342,0.31431311290839486
589,0.147,0.345,0.3029442071319808
590,0.243,0.629,0.6103536947272998
591,0.004,0.253,0.21335603404664072
592,0.173,0.413,0.42505033211690313
593,0.551,0.153,0.1326162353756861
594,0.035,0.04,0.02634769594096852
595,0.01,0.029,0.015419670093369517
596,0.107,0.235,0.21762108935508634
597,0.637,0.387,0.32919969255135895
598,0.376,0.433,0.4207630948287261
599,0.6905,0.3335,0.3109954977660288
600,0.244,0.435,0.4296673438592127
601,0.488,0.7735,0.7905001367482478
602,0.001,0.1585,0.12560213820143343
603,0.36,0.3395,0.32324913442273007
604,0.819,0.3315,0.30771628286075325
605,0.314,0.3855,0.3704487504725227
606,0.5345,0.625,0.6010493541204378
607,0.096,0.3395,0.32812026207421763
608,0.1455,0.161,0.15264169324161747
609,0.055,0.2935,0.269710025101002
610,0.212,0.775,0.789328430592324
611,0.46,0.8395,0.8963988810718175
612,0.407,0.851,0.9283752973689839
613,0.721,0.8295,0.8479855041893355
614,0.121,0.11,0.08642658784439772
615,0.4255,0.6105,0.609563357697358
616,0.042,0.077,0.05835575867808918
617,0.6015,0.323,0.2946735180143842
618,0.06,0.246,0.19627152860540306
619,0.003,0.023,0.016801647770382604
620,0.021,0.069,0.0533720528260613
621,0.001,0.009,0.006972638305944116
622,0.8085,0.8505,0.9849454942834064
623,0.047,0.2335,0.1988070992074306
624,0.018,0.0555,0.044290652836971305
625,0.031,0.14,0.10945225862572726
626,0.2915,0.707,0.6703872909191264
627,0.047,0.5765,0.5680625984165224
628,0.752,0.479,0.4450907763263616
629,0.21,0.053,0.03976622903525492
630,0.015,0.278,0.23495758257370067
631,0.392,0.5945,0.5672037899549927
632,0.4275,0.851,0.8967146922047625
633,0.067,0.056,0.049340332215823575
634,0.109,0.8485,0.9879920513336966
635,0.021,0.545,0.5098727294904664
636,0.029,0.014,0.01069195755496715
637,0.031,0.024,0.018798785716885806
638,0.086,0.073,0.05012836862306197
639,0.004,0.058,0.048199340642942644
640,0.005,0.032,0.027837590003968706
641,0.009,0.028,0.019327878852656237
642,0.2055,0.341,0.3252576050954089
643,0.399,0.6315,0.5760312670701384
644,0.034,0.244,0.21616645200375859
645,0.2095,0.174,0.14972281416252858
646,0.222,0.836,0.883771862505464
647,0.009,0.078,0.07251930996245724
648,0.133,0.051,0.029357491747263542
649,0.198,0.329,0.2974080474898174
650,0.028,0.108,0.09619525107873586
651,0.005,0.034,0.0240416918884878
652,0.781,0.8655,0.9466811896027869
653,0.6085,0.317,0.2878648626391795
654,0.3545,0.3165,0.2767260975188348
655,0.041,0.018,0.012795603620632543
656,0.4375,0.5015,0.4663619783539378
657,0.205,0.4815,0.4961415960304323
658,0.8175,0.6475,0.648465655394756
659,0.843,0.501,0.4606307414745503
660,0.043,0.2535,0.24361043255804768
661,0.5115,0.5405,0.4774787524225149
662,0.003,0.0895,0.07134832425356864
663,0.831,0.574,0.5301056589856801
664,0.014,0.25,0.20448119026999068
665,0.0875,0.048,0.03134505307881114
666,0.205,0.219,0.17199321734961148
